Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50656,15.00,BRDO: Developing Markets-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Other Travel,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",50657,9.10,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Taxi Services UK,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",50657,40.50,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",50658,16.20,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",50658,42.90,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Mileage Allowance UK,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",50659,153.27,F&C Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Other Travel,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",50659,6.40,F&C Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Other Travel,Finance & Commercial Group - Information and Technology Directorate,"Personal Expense, Name Witheld",50659,6.57,F&C Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50660,5.00,BRDO: Evaluation and Research-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Subsistence UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50660,15.00,BRDO: Evaluation and Research-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Taxi Services UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",50660,12.60,BRDO: Evaluation and Research-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Rail Travel UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",50661,22.40,E&S Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Taxi Services UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",50661,27.00,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Hotel & Accommodation Overseas,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",50662,125.02,BLG Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Other Travel,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",50662,6.96,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Subsistence Overseas,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",50662,2.90,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Subsistence Overseas,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",50662,4.50,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Subsistence Overseas,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",50662,10.00,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Subsistence Overseas,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",50662,11.53,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Subsistence Overseas,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",50662,23.49,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Subsistence Overseas,"Business & Local Growth - Energy, Chemicals and Agri-Tech","Personal Expense, Name Witheld",50662,33.06,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,GPC New Procedures,Finance & Commercial Group - UK Shared Business Services,BARCLAYS BANK PLC,50679,16799.07,Default-GPC New Procedures,TS17 6YT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,GPC New Procedures,Finance & Commercial Group - UK Shared Business Services,BARCLAYS BANK PLC,50680,77370.88,Default-GPC New Procedures,TS17 6YT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Payment to Barclaycard for ERAC (Enterprise-Rent-a-Car),Finance & Commercial Group - UK Shared Business Services,BARCLAYS BANK PLC,50681,4458.80,Default-Payment to Barclaycard for ERAC (Enterprise-Rent-a-Car),TS17 6YT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Vocational Education Directorate,TINDER FOUNDATION,50683,125000.00,Joint Information Systems Commitee (Ict Across Fe)-Current Grants To Private Sector - NPISH,S1 2BX,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2014,Economic Consultancy & Research,Enterprise & Skills Group - Better Regulation Delivery Office,CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LTD,50686,-20581.67,BRDO: Risk and Data Sharing-Economic Consultancy & Research,CB3 0GT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2014,Economic Consultancy & Research,Enterprise & Skills Group - Better Regulation Delivery Office,CAMBRIDGE UNIVERSITY TECHNICAL SERVICES LTD,50686,41163.34,BRDO: Risk and Data Sharing-Economic Consultancy & Research,CB3 0GT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,SCISYS (UK) LTD,50689,-3507.28,BRDO: PA System Support-Technical Advice / Services & Support,SN14 0GB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,SCISYS (UK) LTD,50689,7716.02,BRDO: PA System Support-Technical Advice / Services & Support,SN14 0GB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Hire of Interim Managers,Finance & Commercial Group - Finance Group,INTELLECTUAL PROPERTY OFFICE,50691,3279.78,F&C Devolved Admin-Hire of Interim Managers,NP9 1RH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Hire of Interim Managers,Finance & Commercial Group - Finance Group,INTELLECTUAL PROPERTY OFFICE,50692,3721.46,F&C Devolved Admin-Hire of Interim Managers,NP9 1RH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Technical Advice / Services & Support,Enterprise & Skills Group - Enterprise Directorate,CHASE COOPER LTD,50695,33739.20,E&S Devolved Admin-Technical Advice / Services & Support,EC2A 3NN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Payment-Recovery of Overpayment re Exits,Finance & Commercial Group - Finance Group,CABINET OFFICE,50701,2128.07,Default-Payment-Recovery of Overpayment re Exits,RG24 9NW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Payment-Recovery of Overpayment re Exits,Finance & Commercial Group - Finance Group,CABINET OFFICE,50702,2172.08,Default-Payment-Recovery of Overpayment re Exits,RG24 9NW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Payment-Recovery of Overpayment re Exits,Finance & Commercial Group - Finance Group,CABINET OFFICE,50703,73714.41,Default-Payment-Recovery of Overpayment re Exits,RG24 9NW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Payment-Recovery of Overpayment re Exits,Finance & Commercial Group - Finance Group,CABINET OFFICE,50704,102046.19,Default-Payment-Recovery of Overpayment re Exits,RG24 9NW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Payment-Recovery of Overpayment re Exits,Finance & Commercial Group - Finance Group,CABINET OFFICE,50705,121148.83,Default-Payment-Recovery of Overpayment re Exits,RG24 9NW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Payment-Recovery of Overpayment re Exits,Finance & Commercial Group - Finance Group,CABINET OFFICE,50706,443820.23,Default-Payment-Recovery of Overpayment re Exits,RG24 9NW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Payment-Recovery of Overpayment re Exits,Finance & Commercial Group - Finance Group,CABINET OFFICE,50707,664.22,Default-Payment-Recovery of Overpayment re Exits,RG24 9NW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Payment-Recovery of Overpayment re Exits,Finance & Commercial Group - Finance Group,CABINET OFFICE,50708,590.63,Default-Payment-Recovery of Overpayment re Exits,RG24 9NW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Training And Development Expenditure,Enterprise & Skills Group - Vocational Education Directorate,CIVIL SERVICE COLLEGE LTD,50709,660.00,E&S Devolved Admin-Training And Development Expenditure,SW1H 9BU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Research and Development Expenditure,Enterprise & Skills Group - Vocational Education Directorate,UNIVERSITY OF WARWICK,50711,9127.20,Careers Advice-Research and Development Expenditure,CV4 8UW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Business Rates,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),50714,4000.00,E&S Devolved Admin-Business Rates,SW1H 0ET,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),50714,4500.00,Growth Vouchers-Current Grants To Private Sector - NPISH,SW1H 0ET,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Other IT Consultancy,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA,50719,3586.31,F&C Devolved Admin-Other IT Consultancy,DL3 9GU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,50720,96.17,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Leasing of Motor Vehicles,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,GOVERNMENT CAR SERVICE,50721,120.00,MPST Devolved Admin-Leasing of Motor Vehicles,SW8 5AX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,50722,130.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,50722,165.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Publications,Government Office for Science -  Government Office for Science,JONES YARRELL LEADENHALL,50723,136.56,Other Devolved Admin-Publications,E3 3JG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,50724,130.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,50724,165.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,50725,165.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Publications,Government Office for Science -  Government Office for Science,JONES YARRELL LEADENHALL,50726,161.28,Other Devolved Admin-Publications,E3 3JG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,50727,110.50,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Publications,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,THE STATIONERY OFFICE LTD,50727,165.00,MPST Devolved Admin-Publications,NR3 1QZ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Publications,Government Office for Science -  Government Office for Science,JONES YARRELL LEADENHALL,50728,140.72,Other Devolved Admin-Publications,E3 3JG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Publications,Government Office for Science -  Government Office for Science,JONES YARRELL LEADENHALL,50729,63.92,Other Devolved Admin-Publications,E3 3JG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Publications,Government Office for Science -  Government Office for Science,JONES YARRELL LEADENHALL,50730,79.90,Other Devolved Admin-Publications,E3 3JG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,50731,15.12,K&I Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,50731,16.92,K&I Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,50731,32.20,K&I Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,50731,32.20,K&I Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Stationery,Knowledge & Innovation Group - DG/Finance & Corporate Planning,BANNER BUSINESS SERVICES LTD,50731,169.80,K&I Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Technical Advice / Services & Support,Economics & Markets - Analysis Directorate,AECOM PROFESSIONAL SERVICES LLP,50732,41775.00,Construction: Statistics and Other Sponsorship Activities-Technical Advice / Services & Support,AL1 3ER,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,PPM Consultancy,Finance & Commercial Group - Finance Group,CABINET OFFICE,50733,6000.00,F&C Devolved Admin-PPM Consultancy,CF14 3UW,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Training And Development Expenditure,People & Strategy - Human Resources,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,50735,-5000.00,P&S Devolved Admin-Training And Development Expenditure,N1 9RL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Training And Development Expenditure,People & Strategy - Human Resources,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,50735,10000.00,P&S Devolved Admin-Training And Development Expenditure,N1 9RL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Learning and Dev - CS Skills,Knowledge & Innovation Group - Higher Education,CAPITA BUSINESS SERVICES LTD,50741,184.00,K&I Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Learning and Dev - CS Skills,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,CAPITA BUSINESS SERVICES LTD,50743,1178.00,MPST Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Learning and Dev - CS Skills,Finance & Commercial Group - Finance Group,CAPITA BUSINESS SERVICES LTD,50747,63.00,F&C Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Other Training Costs,Economics & Markets - Business Environment,CAPITA BUSINESS SERVICES LTD,50749,197.00,BLG Devolved Admin-Other Training Costs,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Leadership & People Management,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50750,3215.00,P&S Devolved Admin-Leadership & People Management,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,ADP Training,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50751,214.00,P&S Non Devolved Admin-ADP Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/07/2014,Learning and Dev - CS Skills,Finance & Commercial Group - Information and Technology Directorate,CAPITA BUSINESS SERVICES LTD,50752,63.00,F&C Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Training Costs,Economics & Markets - Analysis Directorate,CAPITA BUSINESS SERVICES LTD,50754,281.00,E&M Devolved Admin-Other Training Costs,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/07/2014,Learning and Dev - CS Skills,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50756,206.00,P&S Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Learning and Dev - CS Skills,Knowledge & Innovation Group - Innovation Directorate,CAPITA BUSINESS SERVICES LTD,50757,206.00,K&I Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Learning and Dev - CS Skills,Knowledge & Innovation Group - Higher Education,CAPITA BUSINESS SERVICES LTD,50758,184.00,K&I Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Telecoms,Finance & Commercial Group - Modernisation Fund and Shared Services,EXTERA LTD,50764,4276.00,F&C Devolved Admin-Telecoms,OX16 3TB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/07/2014,Rentals Under Non-PFI Operating Leases - Buildings,Finance & Commercial Group - Estates,BIDWELLS LLP,50778,-57600.00,F&C Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,CB1 0XU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",22/07/2014,Rentals Under Non-PFI Operating Leases - Buildings,Finance & Commercial Group - Estates,BIDWELLS LLP,50778,115200.00,F&C Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,CB1 0XU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Utilisation of Provisions - Purchase of Goods & Services - Other,Business & Local Growth - Advanced Manufacturing Services,SIMPSON & MARWICK SOLICITORS,50780,360.00,AMD: British Shipbuilders Provision-Utilisation of Provisions - Purchase of Goods & Services - Other,EH1 3QR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/07/2014,Grant-In-Aid to Arms Length Bodies,Knowledge & Innovation Group - Innovation Directorate,THE TECHNOLOGY STRATEGY BOARD,50782,10000000.00,TSB Financing-Grant-In-Aid to Arms Length Bodies,SN2 1UE,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Learning and Dev - CS Skills,"Business & Local Growth - Energy, Chemicals and Agri-Tech",THE UK OIL AND GAS INDUSTRY ASSOCIATION T/A OIL AND GAS UK,50786,75.00,BLG Devolved Admin-Learning and Dev - CS Skills,SW1E 5BH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Air Travel Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",50817,290.60,K&I Devolved Admin-Air Travel Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Hotel & Accommodation Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",50817,-269.04,K&I Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Hotel & Accommodation Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",50817,538.08,K&I Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",50817,20.00,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Taxi Services UK,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",50817,19.00,E&M Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2014,Hotel & Accommodation Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",50822,456.36,E&M Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2014,Hotel & Accommodation Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",50823,456.36,E&M Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2014,Hotel & Accommodation Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",50825,456.36,E&M Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2014,Hotel & Accommodation Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",50827,456.36,E&M Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2014,Hotel & Accommodation Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",50828,456.36,E&M Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Subsistence UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",50834,7615.00,Legal Services Admin-Subsistence UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Research and Development Expenditure,Government Office for Science -  Government Office for Science,ALTA INNOVATIONS LTD,50835,-5625.00,Foresight: Cities-Research and Development Expenditure,B15 2SQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Research and Development Expenditure,Government Office for Science -  Government Office for Science,ALTA INNOVATIONS LTD,50835,12375.00,Foresight: Cities-Research and Development Expenditure,B15 2SQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Current Grants To Private Sector - NPISH,Business & Local Growth - Regional Growth,WSX ENTERPRISE LTD,50836,-36958.98,EX RDA Portfolio Management Office-Current Grants To Private Sector - NPISH,PO16 7BJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Current Grants To Private Sector - NPISH,Business & Local Growth - Regional Growth,WSX ENTERPRISE LTD,50836,77038.62,EX RDA Portfolio Management Office-Current Grants To Private Sector - NPISH,PO16 7BJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,External Legal Advice and Service,Knowledge & Innovation Group - International Knowledge and Innovation,SQUIRE SANDERS (UK) LLP,50839,1615.00,U.S. - International Scholarships - Fulbright and Others-External Legal Advice and Service,EC2M 4YH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Rail Travel UK,Knowledge & Innovation Group - Research Base,"Personal Expense, Name Witheld",50840,21.60,K&I Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Other Travel,Business & Local Growth - Digital Economy Unit,"Personal Expense, Name Witheld",50841,9.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Mileage Allowance UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",50842,114.30,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
